"날짜","종가","변동 %","거래량"
"2022년 4월","52037","-4.22%","0.11K"
"2022년 3월","52459","-1.38%","5.66K"
"2022년 2월","52597","-8.53%","13.51K"
"2022년 1월","53450","5.14%","5.52K"
"2021년 12월","52936","-8.10%","13.57K"
"2021년 11월","53746","-21.29%","8.10K"
"2021년 10월","55875","-15.12%","13.00K"
"2021년 9월","57387","-16.25%","6.57K"
"2021년 8월","59012","-0.90%","11.22K"
"2021년 7월","59102","2.13%","4.86K"
"2021년 6월","58889","1.83%","11.36K"
"2021년 5월","58706","1.83%","4.84K"
"2021년 4월","58523","4.72%","12.12K"
"2021년 3월","58051","6.21%","3.50K"
"2021년 2월","57430","8.82%","13.40K"
"2021년 1월","56548","3.31%","4.52K"
"2020년 12월","56217","6.18%","14.68K"
"2020년 11월","55599","18.80%","3.43K"
"2020년 10월","53719","25.60%","14.66K"
"2020년 9월","51159","17.55%","3.97K"
"2020년 8월","49404","6.85%","9.64K"
"2020년 7월","48719","3.26%","4.87K"
"2020년 6월","48393","14.19%","13.43K"
"2020년 5월","46974","-0.16%","4.45K"
"2020년 4월","46990","-1.16%","15.69K"
"2020년 3월","47106","0.42%","10.45K"
"2020년 2월","47064","-0.36%","17.40K"
"2020년 1월","47100","0.60%","7.65K"
"2019년 12월","47040","-2.02%","15.37K"
"2019년 11월","47242","4.55%","7.02K"
"2019년 10월","46787","-21.46%","15.59K"
"2019년 9월","48933","-0.60%","7.36K"
"2019년 8월","48993","0.13%","15.80K"
"2019년 7월","48980","-0.63%","7.01K"
"2019년 6월","49043","-1.37%","12.91K"
"2019년 5월","49180","-0.94%","10.69K"
"2019년 4월","49274","-1.24%","14.45K"
"2019년 3월","49398","0.18%","7.66K"
"2019년 2월","49380","-0.05%","12.92K"
"2019년 1월","49385","0.05%","4.83K"
"2018년 12월","49380","-1.76%","11.59K"
"2018년 11월","49556","9.87%","3.36K"
"2018년 10월","48569","19.75%","15.82K"
"2018년 9월","46594","6.21%","6.46K"
"2018년 8월","45973","2.54%","14.49K"
"2018년 7월","45719","10.06%","3.54K"
"2018년 6월","44713","1.73%","16.42K"
"2018년 5월","44540","-1.37%","8.97K"
"2018년 4월","44677","12.07%","12.99K"
"2018년 3월","43470","15.82%","3.48K"
"2018년 2월","41888","20.10%","11.33K"
"2018년 1월","39878","8.46%","8.56K"
"2017년 12월","39032","7.00%","12.41K"
"2017년 11월","38332","13.94%","7.66K"
"2017년 10월","36938","31.09%","14.41K"
"2017년 9월","33829","13.11%","7.48K"
"2017년 8월","32518","5.61%","15.27K"
"2017년 7월","31957","1.52%","4.07K"
"2017년 6월","31805","0.05%","14.86K"
"2017년 5월","31800","0.00%","8.40K"
"2017년 4월","31800","0.00%","18.24K"
"2017년 3월","31800","0.00%","6.60K"
"2017년 2월","31800","-2.35%","18.79K"
"2017년 1월","32035","-3.65%","5.91K"
"2016년 12월","32400","0.00%","17.77K"
"2016년 11월","32400","14.85%","5.29K"
"2016년 10월","30915","-31.90%","18.60K"
"2016년 9월","34105","-19.36%","4.69K"
"2016년 8월","36041","-1.59%","16.97K"
"2016년 7월","36200","0.00%","5.08K"
"2016년 6월","36200","0.00%","17.22K"
"2016년 5월","36200","0.00%","7.28K"
"2016년 4월","36200","0.00%","20.63K"
"2016년 3월","36200","0.00%","7.26K"
"2016년 2월","36200","0.00%","17.13K"
"2016년 1월","36200","0.00%","5.53K"